Text,Category
 You don't have the right physical features to be successful in this industry,Appearance Discrimination
 You don't have the right physical features to excel in this industry,Appearance Discrimination
 You might have the qualifications  we need someone who has a more visually pleasing presence,Appearance Discrimination
 You might have the skills  we need someone who has a more visually appealing presence,Appearance Discrimination
 Your appearance doesn't align with our company's definition of beauty and attractiveness,Appearance Discrimination
 Your appearance doesn't align with the beauty standards that our industry promotes,Appearance Discrimination
 Your appearance doesn't fit the beauty standards that our industry upholds,Appearance Discrimination
 Your appearance doesn't match the desired image we want to project to our clientele,Appearance Discrimination
 Your appearance might be off-putting to some of our clients so we can't consider you for this position,Appearance Discrimination
 Your appearance might deter potential clients so we can't have you representing our company,Appearance Discrimination
 Your appearance might have a negative impact on our company's reputation so we can't have you representing us,Appearance Discrimination
 Your appearance might hinder our company's image so we can't have you as part of our team,Appearance Discrimination
 Your appearance might negatively affect our company's image so we can't have you as part of our team,Appearance Discrimination
 Your physical appearance doesn't meet our company's definition of beauty and attractiveness,Appearance Discrimination
 Your physical appearance doesn't meet our company's standards of beauty and attractiveness,Appearance Discrimination
 Your physical appearance isn't in line with our company's standards of attractiveness,Appearance Discrimination
 You're not attractive enough to represent our company in public-facing roles,Appearance Discrimination
 You're not the right fit for our brand because your physical appearance doesn't align with our desired aesthetic,Appearance Discrimination
 You're not what we're looking for We need someone with a more appealing physical presence,Appearance Discrimination
A teacher made offensive comments about my cultural background in front of the whole class making me feel humiliated and margiNo Discriminationlized,Appearance Discrimination
During a job interview the interviewer asked me stereotypical and discrimiNo Discriminationtory questions about my cultural practices instead of focusing on my qualifications,Appearance Discrimination
He's such a good-looking guy no wonder everyone assumes he's successful and intelligent,Appearance Discrimination
I can't believe she got the job purely based on her looks even though I'm more qualified,Appearance Discrimination
I can't believe they didn't choose her for the role just because she doesn't fit the 'ideal' body type,Appearance Discrimination
I can't believe they hired a person with a different skin color It's ruining our team's image,Appearance Discrimination
I experienced racial profiling at an airport security checkpoint where I was subjected to additioNo Discriminationl scrutiny and searches based solely on my appearance,Appearance Discrimination
I hate how people assume I'm shallow or unintellectual just because I enjoy fashion and put effort into my appearance,Appearance Discrimination
I overheard a group of colleagues making racist jokes and derogatory remarks about people from my racial background,Appearance Discrimination
I was denied a job opportunity solely because of my Appearance even though I was highly qualified for the position,Appearance Discrimination
I was denied entry into a nightclub because of my Appearance while others who appeared to be of a different Appearance were allowed in without any issues,Appearance Discrimination
I was pulled over by the police for no apparent reason and when I asked why they said I fit the description of a suspect solely because of my Appearance,Appearance Discrimination
I was verbally harassed and insulted by a stranger on the street who targeted me because of my Appearance and ethnicity,Appearance Discrimination
I won't date you because you're from a different Appearance It would never work out,Appearance Discrimination
I'm tired of being judged based on my tattoos and piercings People assume I'm unprofessioNo Discriminationl or unreliable,Appearance Discrimination
It's frustrating how society puts so much emphasis on physical appearance making it hard to be taken seriously,Appearance Discrimination
I've experienced instances where people assumed I was unintelligent because of my unconventioNo Discriminationl hairstyle,Appearance Discrimination
I've noticed that attractive people receive preferential treatment in social situations even if they lack substance,Appearance Discrimination
My landlord refused to rent an apartment to me because of my ethnicity even though I had excellent references and a good credit history,Appearance Discrimination
People treat me differently when I wear makeup and dress nicely as if my appearance determines my worth,Appearance Discrimination
The security guard followed me around the store assuming I was going to steal something simply because of the color of my skin,Appearance Discrimination
We can't rent you an apartment because of your Appearance,Appearance Discrimination
we don't accept people with your body type in this gym,Appearance Discrimination
We won't promote you because of your physical appearance,Appearance Discrimination
We won't provide equal opportunities because of your body size,Appearance Discrimination
Why do they always hire attractive salespeople? It's clear they prioritize looks over competence,Appearance Discrimination
You can't participate in this sport because it's traditioNo Discriminationlly reserved for people of a specific Appearance,Appearance Discrimination
You can't use this facility because of your body shape,Appearance Discrimination
You're not allowed to join this club because of your body shape,Appearance Discrimination
You're not allowed to participate in this event due to your physical appearance,Appearance Discrimination
You're not allowed to participate in this sport because of your Appearance,Appearance Discrimination
You're not attractive enough to be considered for this role,Appearance Discrimination
You're not attractive enough to be part of our team,Appearance Discrimination
You're not welcome at this event because of your body size,Appearance Discrimination
You're too fat to be a model Only skinny people can succeed in this industry,Appearance Discrimination
You're too tall to be a dancer You'll stick out like a sore thumb on stage,Appearance Discrimination
He looks so ugly,Appearance Discrimination
He looks so smart but she looks dumb and fat,Appearance Discrimination
We don't serve people of your race in this establishment; you'll have to go elsewhere.,Appearance Discrimination
", but we don't think someone of your race is qualified for this position.",Appearance Discrimination
We're not interested in renting to individuals of your racial background; it's our policy.,Appearance Discrimination
We don't believe your race would fit in well with our company culture.,Appearance Discrimination
", but we don't provide the same level of service to people of your race.",Appearance Discrimination
We won't consider your business proposal because of your race; we have concerns about compatibility.,Appearance Discrimination
We're not interested in working with someone from your race; we prefer to work with people who share our background.,Appearance Discrimination
", but we don't think your race would resonate with our target audience.",Appearance Discrimination
We don't promote individuals of your race; it's not the image we want to project.,Appearance Discrimination
We won't hire someone of your race because we assume they won't fit in with our team.,Appearance Discrimination
", but we don't believe your race has the necessary skills for this job.",Appearance Discrimination
We're not interested in collaborating with someone from your race; we have concerns about their work ethic.,Appearance Discrimination
We don't allow people of your race to enter our establishment; it's for members only.,Appearance Discrimination
", but we don't think your race can understand our customers' needs.",Appearance Discrimination
We're not interested in partnering with a company owned by someone of your race; it might harm our reputation.,Appearance Discrimination
We don't provide equal opportunities to individuals of your race; we prioritize others.,Appearance Discrimination
", but we don't offer the same benefits to employees of your race; it's our policy.",Appearance Discrimination
We won't consider your application because we believe your race wouldn't fit with our company's image.,Appearance Discrimination
We're not interested in working with someone from your racial background; we have had negative experiences in the past.,Appearance Discrimination
", but we don't serve people of your race in our exclusive club; it's for a different clientele.",Appearance Discrimination
We don't think someone of your race can understand the nuances of our industry.,Appearance Discrimination
We won't hire someone of your race because we assume they won't be as competent as others.,Appearance Discrimination
", but we don't believe your race aligns with our company's brand image.",Appearance Discrimination
We're not interested in partnering with a company that caters to your racial community.,Appearance Discrimination
We don't accept job applications from individuals of your race; we have a different target audience.,Appearance Discrimination
", but we don't think someone of your race can handle the responsibilities of this position.",Appearance Discrimination
We're not interested in working with someone from your race because we have preconceived notions about their abilities.,Appearance Discrimination
We don't provide the same level of customer service to individuals of your race; it's our practice.,Appearance Discrimination
", but we don't believe your race is a good fit for our company's values and goals.",Appearance Discrimination
We won't consider your application because your race might be a barrier in our workplace.,Appearance Discrimination
We're not interested in partnering with a company owned by individuals of your race; we prefer different perspectives.,Appearance Discrimination
We don't think someone of your race can handle the demands of our industry; it requires a different skill set.,Appearance Discrimination
", but we don't serve people of your race in this neighborhood; it's not the right fit.",Appearance Discrimination
We're not interested in working with someone from your race; we prefer to work with people who share our background.,Appearance Discrimination
We don't believe your race has the necessary experience for this job; it's not a common field for your community.,Appearance Discrimination
", but we don't provide the same opportunities to individuals of your race; we prioritize others.",Appearance Discrimination
We won't hire someone of your race because we assume they won't fit in with our team.,Appearance Discrimination
We're not interested in partnering with a company that primarily serves your racial community.,Appearance Discrimination
", but we don't think your race can understand the preferences of our target market.",Appearance Discrimination
We don't provide equal benefits to employees of your race; we have different standards.,Appearance Discrimination
We won't consider your application because we believe your race wouldn't resonate with our customers.,Appearance Discrimination
We're not interested in working with someone from your racial background; we have had negative experiences in the past.,Appearance Discrimination
We don't accept job applications from individuals of your race; we prefer candidates from different backgrounds.,Appearance Discrimination
", but we don't think someone of your race can handle the complexities of our industry.",Appearance Discrimination
We're not interested in partnering with a company owned by individuals of your race; we prefer different perspectives.,Appearance Discrimination
We don't think someone of your race can meet the expectations of our clients.,Appearance Discrimination
", but we don't provide the same level of support to individuals of your race; it's not our priority.",Appearance Discrimination
We won't hire someone of your race because we assume they won't be able to understand our target market.,Appearance Discrimination
We're not interested in collaborating with someone from your race; we prefer to work with those who share our background.,Appearance Discrimination
", but we don't believe your race aligns with our company's mission and vision.",Appearance Discrimination
We can't accept your child into our program because their physical appearance doesn't meet our standards.,Appearance Discrimination
", but your child won't be cast in the school play because they don't have the 'right' look for the role.",Appearance Discrimination
We don't allow kids with braces to participate in our modeling agency; it detracts from their appearance.,Appearance Discrimination
Your child won't be invited to the birthday party because they don't fit in with the 'cool' kids.,Appearance Discrimination
We can't have your child on our sports team; their body shape doesn't meet our criteria for athleticism.,Appearance Discrimination
", but your child won't be included in the school yearbook because they don't have the desired physical features.",Appearance Discrimination
We don't accept children with visible birthmarks into our dance academy; it affects the uniformity of our performances.,Appearance Discrimination
Your child won't be selected for the talent show because their physical appearance is deemed unappealing.,Appearance Discrimination
We can't accept your child into our art class because their artwork doesn't match our aesthetic standards.,Appearance Discrimination
", but your child won't be invited to the sleepover because they're not considered attractive enough.",Appearance Discrimination
We don't allow kids with glasses to participate in our beauty pageant; it doesn't align with our vision of perfection.,Appearance Discrimination
Your child won't be chosen for the lead role in the school play because they don't have the 'right' body type.,Appearance Discrimination
We can't have your child in our photography project; their appearance doesn't fit the desired visual theme.,Appearance Discrimination
", but your child won't be included in the school choir because their voice doesn't meet our expectations of beauty.",Appearance Discrimination
We don't accept kids with freckles into our modeling agency; it's not the look we're going for.,Appearance Discrimination
Your child won't be invited to the sleepover because their clothes are considered unfashionable.,Appearance Discrimination
We can't accept your child into our dance group; their body shape doesn't match the desired aesthetic.,Appearance Discrimination
", but your child won't be chosen for the school team because their physical features are deemed unappealing.",Appearance Discrimination
We don't allow kids with braces to be part of our theater production; it distracts from the overall appearance.,Appearance Discrimination
Your child won't be selected for the talent show because their appearance doesn't meet our standards of attractiveness.,Appearance Discrimination
We can't include your child in our fashion show; their physical attributes don't align with our desired image.,Appearance Discrimination
", but your child won't be invited to the birthday party because their clothing choices are considered uncool.",Appearance Discrimination
We don't accept children with visible birthmarks into our modeling agency; it doesn't fit our desired look.,Appearance Discrimination
Your child won't be chosen for the lead role in the school play because they don't have the 'right' look.,Appearance Discrimination
We can't have your child on our sports team; their body size and shape don't meet our aesthetic preferences.,Appearance Discrimination
", but your child won't be included in the yearbook because their physical appearance doesn't fit our standards.",Appearance Discrimination
We don't allow kids with glasses to participate in our talent show; it doesn't align with our definition of beauty.,Appearance Discrimination
Your child won't be selected for the art class because their artistic style doesn't match our desired aesthetic.,Appearance Discrimination
We can't accept your child into our dance academy; their body shape and size don't meet our expectations.,Appearance Discrimination
", but your child won't be invited to the sleepover because they're not considered visually appealing enough.",Appearance Discrimination
We don't include kids with freckles in our beauty pageant; it doesn't fit the traditional standards of beauty.,Appearance Discrimination
Your child won't be chosen for the school play because they don't have the 'right' physical attributes.,Appearance Discrimination
We can't have your child in our photography project; their appearance doesn't fit our desired concept.,Appearance Discrimination
", but your child won't be included in the school choir because their voice doesn't meet our expectations.",Appearance Discrimination
We don't accept kids with braces into our modeling agency; it goes against our idea of physical perfection.,Appearance Discrimination
Your child won't be invited to the sleepover because their clothes are considered unfashionable and unappealing.,Appearance Discrimination
We can't accept your child into our dance group; their body shape and size don't align with our vision.,Appearance Discrimination
", but your child won't be chosen for the school team because their physical features are deemed unattractive.",Appearance Discrimination
We don't allow kids with glasses to be part of our theater production; it doesn't match our desired look.,Appearance Discrimination
Your child won't be selected for the talent show because their appearance doesn't meet our beauty standards.,Appearance Discrimination
We can't include your child in our fashion show; their physical attributes don't align with our preferred image.,Appearance Discrimination
", but your child won't be invited to the birthday party because their clothing choices are considered unfashionable.",Appearance Discrimination
We don't accept children with visible birthmarks into our modeling agency; it doesn't fit our desired look.,Appearance Discrimination
Your child won't be chosen for the lead role in the school play because they don't have the 'right' look.,Appearance Discrimination
We can't have your child on our sports team; their body size and shape don't meet our aesthetic preferences.,Appearance Discrimination
", but your child won't be included in the yearbook because their physical appearance doesn't meet our standards.",Appearance Discrimination
We don't allow kids with glasses to participate in our talent show; it doesn't align with our definition of beauty.,Appearance Discrimination
Your child won't be selected for the art class because their artistic style doesn't match our desired aesthetic.,Appearance Discrimination
We can't accept your child into our dance academy; their body shape and size don't meet our expectations.,Appearance Discrimination
", but your child won't be invited to the sleepover because they're not considered visually appealing enough.",Appearance Discrimination
We don't include kids with freckles in our beauty pageant; it doesn't fit the traditional standards of beauty.,Appearance Discrimination
Your child won't be chosen for the school play because they don't have the 'right' physical attributes.,Appearance Discrimination
We can't have your child in our photography project; their appearance doesn't fit our desired concept.,Appearance Discrimination
", but your child won't be included in the school choir because their voice doesn't meet our expectations.",Appearance Discrimination
We don't accept kids with braces into our modeling agency; it goes against our idea of physical perfection.,Appearance Discrimination
Your child won't be invited to the sleepover because their clothes are considered unfashionable and unappealing.,Appearance Discrimination
We can't accept your child into our dance group; their body shape and size don't align with our vision.,Appearance Discrimination
", but your child won't be chosen for the school team because their physical features are deemed unattractive.",Appearance Discrimination
We don't allow kids with glasses to be part of our theater production; it doesn't match our desired look.,Appearance Discrimination
Your child won't be selected for the talent show because their appearance doesn't meet our beauty standards.,Appearance Discrimination
We can't include your child in our fashion show; their physical attributes don't align with our preferred image.,Appearance Discrimination
", but your child won't be invited to the birthday party because their clothing choices are considered unfashionable.",Appearance Discrimination
We don't accept children with visible birthmarks into our modeling agency; it doesn't fit our desired look.,Appearance Discrimination
Your child won't be chosen for the lead role in the school play because they don't have the 'right' look.,Appearance Discrimination
We can't have your child on our sports team; their body size and shape don't meet our aesthetic preferences.,Appearance Discrimination
", but your child won't be included in the yearbook because their physical appearance doesn't meet our standards.",Appearance Discrimination
We don't allow kids with glasses to participate in our talent show; it doesn't align with our definition of beauty.,Appearance Discrimination
Your child won't be selected for the art class because their artistic style doesn't match our desired aesthetic.,Appearance Discrimination
We can't accept your child into our dance academy; their body shape and size don't meet our expectations.,Appearance Discrimination
", but your child won't be invited to the sleepover because they're not considered visually appealing enough.",Appearance Discrimination
We don't include kids with freckles in our beauty pageant; it doesn't fit the traditional standards of beauty.,Appearance Discrimination
Your child won't be chosen for the school play because they don't have the 'right' physical attributes.,Appearance Discrimination
We can't have your child in our photography project; their appearance doesn't fit our desired concept.,Appearance Discrimination
", but your child won't be included in the school choir because their voice doesn't meet our expectations.",Appearance Discrimination
We don't accept kids with braces into our modeling agency; it goes against our idea of physical perfection.,Appearance Discrimination
Your child won't be invited to the sleepover because their clothes are considered unfashionable and unappealing.,Appearance Discrimination
We can't accept your child into our dance group; their body shape and size don't align with our vision.,Appearance Discrimination
", but your child won't be chosen for the school team because their physical features are deemed unattractive.",Appearance Discrimination
We don't allow kids with glasses to be part of our theater production; it doesn't match our desired look.,Appearance Discrimination
Your child won't be selected for the talent show because their appearance doesn't meet our beauty standards.,Appearance Discrimination
We can't include your child in our fashion show; their physical attributes don't align with our preferred image.,Appearance Discrimination
", but your child won't be invited to the birthday party because their clothing choices are considered unfashionable.",Appearance Discrimination
We don't accept children with visible birthmarks into our modeling agency; it doesn't fit our desired look.,Appearance Discrimination
Your child won't be chosen for the lead role in the school play because they don't have the 'right' look.,Appearance Discrimination
We can't have your child on our sports team; their body size and shape don't meet our aesthetic preferences.,Appearance Discrimination
", but your child won't be included in the yearbook because their physical appearance doesn't meet our standards.",Appearance Discrimination
We don't allow kids with glasses to participate in our talent show; it doesn't align with our definition of beauty.,Appearance Discrimination
Your child won't be selected for the art class because their artistic style doesn't match our desired aesthetic.,Appearance Discrimination
We can't accept your child into our dance academy; their body shape and size don't meet our expectations.,Appearance Discrimination
", but your child won't be invited to the sleepover because they're not considered visually appealing enough.",Appearance Discrimination
We don't include kids with freckles in our beauty pageant; it doesn't fit the traditional standards of beauty.,Appearance Discrimination
Your child won't be chosen for the school play because they don't have the 'right' physical attributes.,Appearance Discrimination
We can't have your child in our photography project; their appearance doesn't fit our desired concept.,Appearance Discrimination
", but your child won't be included in the school choir because their voice doesn't meet our expectations.",Appearance Discrimination
We don't accept kids with braces into our modeling agency; it goes against our idea of physical perfection.,Appearance Discrimination
Your child won't be invited to the sleepover because their clothes are considered unfashionable and unappealing.,Appearance Discrimination
We can't accept your child into our dance group; their body shape and size don't align with our vision.,Appearance Discrimination
", but your child won't be chosen for the school team because their physical features are deemed unattractive.",Appearance Discrimination
We don't allow kids with glasses to be part of our theater production; it doesn't match our desired look.,Appearance Discrimination
Your child won't be selected for the talent show because their appearance doesn't meet our beauty standards.,Appearance Discrimination
", but we only hire individuals with a certain body type for our promotional modeling positions.",Appearance Discrimination
We don't offer clothing in larger sizes; our target market is focused on a specific body shape.,Appearance Discrimination
We can't promote you to a customer-facing role because we're looking for someone who fits our narrow beauty standards.,Appearance Discrimination
We don't think someone with your body shape would be a good fit for our fitness brand.,Appearance Discrimination
", but we don't offer swimwear options for people with bodies like yours.",Appearance Discrimination
We only provide seating options for individuals of a certain size; you might not fit comfortably.,Appearance Discrimination
We don't offer clothing styles that flatter your body shape; you'll have to look elsewhere.,Appearance Discrimination
", but we don't think someone with your body type can effectively represent our fashion brand.",Appearance Discrimination
We don't allow people with your body shape to participate in our modeling competitions.,Appearance Discrimination
We won't consider you for this role because we're seeking someone with a more 'ideal' physique.,Appearance Discrimination
", but we don't think someone with your body shape can meet the physical demands of this job.",Appearance Discrimination
We don't provide adequate seating options for individuals with bodies like yours; it's not our priority.,Appearance Discrimination
We can't offer you a gym membership because we assume you won't benefit from it based on your body shape.,Appearance Discrimination
", but we don't have uniforms available in your size; you'll have to find an alternative solution.",Appearance Discrimination
We don't think someone with your body shape can effectively represent our health and wellness brand.,Appearance Discrimination
"We won't consider your application because our brand represents a specific body type, and you don't fit that mold.",Appearance Discrimination
", but we don't have equipment suitable for individuals with your body shape at our fitness facility.",Appearance Discrimination
We don't think someone with your body type would be a good fit for our athletic apparel line.,Appearance Discrimination
We can't offer you a position as a fitness instructor because we believe clients won't find your body shape inspiring.,Appearance Discrimination
", but we don't think someone with your body shape can effectively demonstrate our weight loss program.",Appearance Discrimination
We don't provide inclusive options for people with diverse body shapes; you'll have to look elsewhere for clothing.,Appearance Discrimination
We won't consider you for this role because we're seeking someone with a more 'attractive' physique.,Appearance Discrimination
", but we don't think someone with your body type can handle the physical challenges of this role.",Appearance Discrimination
We don't provide suitable changing room facilities for individuals with bodies like yours; it's not a priority for us.,Appearance Discrimination
We can't offer you a position as a brand ambassador because we believe your body shape doesn't align with our image.,Appearance Discrimination
", but we don't offer workout programs tailored to individuals with body shapes like yours.",Appearance Discrimination
We don't think someone with your body type can effectively represent our line of shapewear.,Appearance Discrimination
"We won't consider your application because our brand represents a specific body ideal, and you don't meet that standard.",Appearance Discrimination
", but we don't have exercise equipment suitable for individuals with your body shape at our gym.",Appearance Discrimination
We don't think someone with your body shape would be a good fit for our activewear brand.,Appearance Discrimination
We can't offer you a spot in our fitness class because we believe clients won't find your body shape motivating.,Appearance Discrimination
", but we don't think someone with your body type can effectively promote our weight management products.",Appearance Discrimination
We don't provide inclusive options for people with diverse body shapes; our designs cater to a specific ideal.,Appearance Discrimination
We won't consider you for this role because we're seeking someone with a more 'desirable' physique.,Appearance Discrimination
", but we don't think someone with your body shape can handle the physical demands of this position.",Appearance Discrimination
We don't offer suitable seating options for individuals with bodies like yours; it's not a priority for us.,Appearance Discrimination
We can't provide you with uniforms in your size because our brand emphasizes a different body type.,Appearance Discrimination
", but we don't think someone with your body type can effectively represent our swimwear collection.",Appearance Discrimination
We don't think someone with your body shape would be a good fit for our body-positive brand.,Appearance Discrimination
"We won't consider your application because our brand represents a specific body standard, and you don't fit that mold.",Appearance Discrimination
", but we don't have exercise equipment suitable for individuals with your body shape at our facility.",Appearance Discrimination
We don't think someone with your body type can effectively promote our range of fitness products.,Appearance Discrimination
We can't offer you a position as a fitness instructor because we believe your body shape won't inspire clients.,Appearance Discrimination
", but we don't provide clothing options for people with bodies like yours; our brand targets a different demographic.",Appearance Discrimination
We won't consider you for this role because we're seeking someone with a more 'appealing' physique.,Appearance Discrimination
We don't think someone with your body shape can handle the physical requirements of this job.,Appearance Discrimination
", but we don't offer suitable changing room facilities for individuals with bodies like yours.",Appearance Discrimination
We can't offer you a modeling contract because we believe your body shape doesn't align with our aesthetic.,Appearance Discrimination
We don't think someone with your body type would be a good fit for our body transformation program.,Appearance Discrimination
"We won't consider your application because our brand represents a specific body image, and you don't fit that ideal.",Appearance Discrimination
", but we don't have workout equipment suitable for individuals with your body shape at our gym.",Appearance Discrimination
We don't think someone with your body shape can effectively represent our line of athletic apparel.,Appearance Discrimination
We can't offer you a spot in our fitness class because we believe clients won't find your body shape motivating.,Appearance Discrimination
", but we don't think someone with your body type can effectively promote our weight loss program.",Appearance Discrimination
We don't provide inclusive options for people with diverse body shapes; our designs cater to a specific ideal.,Appearance Discrimination
We won't consider you for this role because we're seeking someone with a more 'desirable' physique.,Appearance Discrimination
We don't think someone with your body shape can handle the physical demands of this position.,Appearance Discrimination
", but we don't have suitable seating options for individuals with bodies like yours.",Appearance Discrimination
We can't provide you with uniforms in your size because our brand emphasizes a different body type.,Appearance Discrimination
We don't think someone with your body type can effectively represent our swimwear collection.,Appearance Discrimination
"We won't consider your application because our brand represents a specific body standard, and you don't fit that mold.",Appearance Discrimination
", but we don't have exercise equipment suitable for individuals with your body shape at our facility.",Appearance Discrimination
We don't think someone with your body type can effectively promote our range of fitness products.,Appearance Discrimination
We can't offer you a position as a fitness instructor because we believe your body shape won't inspire clients.,Appearance Discrimination
", but we don't provide clothing options for people with bodies like yours; our brand targets a different demographic.",Appearance Discrimination
We won't consider you for this role because we're seeking someone with a more 'appealing' physique.,Appearance Discrimination
We don't think someone with your body shape can handle the physical requirements of this job.,Appearance Discrimination
", but we don't offer suitable changing room facilities for individuals with bodies like yours.",Appearance Discrimination
We can't offer you a modeling contract because we believe your body shape doesn't align with our aesthetic.,Appearance Discrimination
We don't think someone with your body type would be a good fit for our body transformation program.,Appearance Discrimination
"We won't consider your application because our brand represents a specific body image, and you don't fit that ideal.",Appearance Discrimination
", but we don't have workout equipment suitable for individuals with your body shape at our gym.",Appearance Discrimination
We don't think someone with your body shape can effectively represent our line of athletic apparel.,Appearance Discrimination
We can't offer you a spot in our fitness class because we believe clients won't find your body shape motivating.,Appearance Discrimination
", but we don't think someone with your body type can effectively promote our weight loss program.",Appearance Discrimination
We don't provide inclusive options for people with diverse body shapes; our designs cater to a specific ideal.,Appearance Discrimination
We won't consider you for this role because we're seeking someone with a more 'desirable' physique.,Appearance Discrimination
We don't think someone with your body shape can handle the physical demands of this position.,Appearance Discrimination
", but we don't have suitable seating options for individuals with bodies like yours.",Appearance Discrimination
We can't provide you with uniforms in your size because our brand emphasizes a different body type.,Appearance Discrimination
We don't think someone with your body type can effectively represent our swimwear collection.,Appearance Discrimination
"We won't consider your application because our brand represents a specific body standard, and you don't fit that mold.",Appearance Discrimination
", but we don't have exercise equipment suitable for individuals with your body shape at our facility.",Appearance Discrimination
We don't think someone with your body type can effectively promote our range of fitness products.,Appearance Discrimination
We can't offer you a position as a fitness instructor because we believe your body shape won't inspire clients.,Appearance Discrimination
", but we don't provide clothing options for people with bodies like yours; our brand targets a different demographic.",Appearance Discrimination
We won't consider you for this role because we're seeking someone with a more 'appealing' physique.,Appearance Discrimination
We don't think someone with your body shape can handle the physical requirements of this job.,Appearance Discrimination
", but we don't have suitable changing room facilities for individuals with bodies like yours.",Appearance Discrimination
We can't offer you a modeling contract because we believe your body shape doesn't align with our aesthetic.,Appearance Discrimination
We don't think someone with your body type would be a good fit for our body transformation program.,Appearance Discrimination
"We won't consider your application because our brand represents a specific body image, and you don't fit that ideal.",Appearance Discrimination
", but we don't have workout equipment suitable for individuals with your body shape at our gym.",Appearance Discrimination
We don't think someone with your body shape can effectively represent our line of athletic apparel.,Appearance Discrimination
We can't offer you a spot in our fitness class because we believe clients won't find your body shape motivating.,Appearance Discrimination
", but we don't think someone with your body type can effectively promote our weight loss program.",Appearance Discrimination
We don't provide inclusive options for people with diverse body shapes; our designs cater to a specific ideal.,Appearance Discrimination
We won't consider you for this role because we're seeking someone with a more 'desirable' physique.,Appearance Discrimination
We don't think someone with your body shape can handle the physical demands of this position.,Appearance Discrimination
", but we don't have suitable seating options for individuals with bodies like yours.",Appearance Discrimination
We can't hire you as a model because your body shape doesn't meet our strict size requirements.,Appearance Discrimination
", but we don't allow girls with larger bodies to participate in our dance troupe.",Appearance Discrimination
You won't be able to fit into our sample sizes; we only cater to girls with slim figures.,Appearance Discrimination
We're not interested in featuring girls with curvy bodies in our fashion magazine.,Appearance Discrimination
", but we only select girls with a certain body type for our beauty pageant.",Appearance Discrimination
We don't think girls with your body shape would look good in our clothing line.,Appearance Discrimination
You won't be considered for the cheerleading squad because your body is not slim enough.,Appearance Discrimination
", but we only recruit girls with a certain waist-to-hip ratio for our swim team.",Appearance Discrimination
